ResponseId,MainBranch,Age,Employment,RemoteWork,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Country,AIDevHaveWorkedWith,SOAI,AISelect,AISent,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,WorkExp,Industry,SurveyLength,SurveyEase,ConvertedCompYearly,SurveyYear
11,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,3,"Developer, desktop or enterprise applications",100 to 499 employees,United States of America,NA,I think AI might be helpful sort of as a search tool?,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Other,Appropriate in length,Neither easy nor difficult,NA,2023
12,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,9,"Developer, full-stack",100 to 499 employees,Australia,GitHub Copilot,NA,Yes,Favorable,Somewhat trust,,Writing code;Testing code,,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,78003,2023
13,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,9,"Developer, full-stack",2 to 9 employees,United States of America,NA,NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,Other,Appropriate in length,Easy,75000,2023
14,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,Less than 1 year,"Developer, QA or test","10,000 or more employees",United States of America,NA,"I have used AI tools (chatGPT) to both learn specific things about coding, and to optimise code that I wrote. I have found that it quite useful, and it seems to generate code that works. However, it seems to stumble on math, and sometimes points to resources on the web that do not actually exist. I think AI tools could help Stack Overflow in collecting, organizing, and summarizing information in a consise fashion. For example, maybe a question has been asked several times, and multiple different answers have been provided, with varying degrees of accuracy and effectiveness, maybe an AI tool can help analyze these answers and find a common pattern that points to the right solution. But then, I'm no expert on AI or coding, so this is just my two cents.",Yes,Favorable,Somewhat trust,Project planning;Documenting code;Testing code;Committing and reviewing code,Writing code;Debugging and getting help,,NA,NA,NA,NA,10,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,150000,2023
15,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,7,"Developer, full-stack","10,000 or more employees",Netherlands,NA,NA,"No, but I plan to soon",Indifferent,Neither trust nor distrust,NA,NA,NA,NA,NA,NA,NA,7,Other,Appropriate in length,Easy,187407,2023
16,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,10,"Developer, back-end",100 to 499 employees,Germany,GitHub Copilot,sounds promising,Yes,Favorable,Somewhat trust,Learning about a codebase;Debugging and getting help;Testing code;Deployment and monitoring,Writing code,Project planning;Documenting code;Committing and reviewing code;Collaborating with teammates ,NA,NA,NA,NA,15,"Manufacturing, Transportation, or Supply Chain",Too long,Neither easy nor difficult,107090,2023
17,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,2,"Developer, front-end","1,000 to 4,999 employees",Sweden,NA,NA,Yes,Very favorable,Somewhat trust,Debugging and getting help,Writing code,,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,45149,2023
18,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,6,"Developer, front-end",500 to 999 employees,France,GitHub Copilot,I use both SO and ChatGPT. When I really want to understand something I use ChatGPT. When I just need a quick answer I go for SO.,Yes,Very favorable,Neither trust nor distrust,Learning about a codebase;Project planning;Deployment and monitoring;Collaborating with teammates ,Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code,,NA,NA,NA,NA,6,Retail and Consumer Services,Appropriate in length,Easy,58899,2023
19,I am a developer by profession,Under 18 years old,"Employed, full-time",Remote,Primary/elementary school,3,Less than 1 year,Designer,"Just me - I am a freelancer, sole proprietor, etc.",Albania,Adrenaline,טקד,Yes,Favorable,Neither trust nor distrust,Debugging and getting help,Project planning;Collaborating with teammates ,Deployment and monitoring,NA,NA,NA,NA,4,NA,NA,NA,14,2023
20,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Some college/university study without earning a degree,24,14,"Developer, full-stack",20 to 99 employees,Germany,GitHub Copilot,"AI can improve the current experience, if the training data is unbiased and will cover a wide range of parameters. As for the usage on Stackoverflow itself, it can help in properly tagging and classifying questions.",Yes,Favorable,Somewhat trust,,Writing code;Documenting code;Committing and reviewing code,,NA,NA,NA,NA,14,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,75010,2023
21,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,6,"Developer, front-end",20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,NA,NA,Yes,Favorable,Somewhat trust,,Debugging and getting help,,NA,NA,NA,NA,6,Higher Education,Appropriate in length,Easy,60828,2023
22,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Employed, full-time",Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",20,5,Data scientist or machine learning specialist,500 to 999 employees,Germany,NA,NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,Appropriate in length,Easy,85672,2023
23,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,6,"Developer, full-stack",20 to 99 employees,Nigeria,GitHub Copilot,"Honestly, instant feedback would be nice. No one really wants to wait for sometime for an urgent question to be answered.",Yes,Very favorable,Neither trust nor distrust,Committing and reviewing code;Deployment and monitoring,Writing code;Testing code,,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,120000,2023
24,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Employed, full-time",Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",13,10,Data or business analyst,500 to 999 employees,Germany,NA,NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,69608,2023
25,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Less than 1 year,10,"Developer, back-end",2 to 9 employees,Spain,NA,NA,Yes,Favorable,Neither trust nor distrust,,Learning about a codebase;Writing code;Documenting code;Testing code,,NA,NA,NA,NA,10,"Information Services, IT, Software Development, or other Technology",Too long,Neither easy nor difficult,37481,2023
26,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,10,"Developer, back-end",10 to 19 employees,South Africa,NA,"Helping users when writing a new question e.g. prompting for clarity, alerting to similar Stack Overflow questions.","No, but I plan to soon",Indifferent,Neither trust nor distrust,NA,NA,NA,NA,NA,NA,NA,10,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,103743,2023
27,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,9,"Developer, back-end",100 to 499 employees,Belgium,GitHub Copilot,NA,Yes,Favorable,Somewhat distrust,NA,NA,NA,NA,NA,NA,NA,9,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,NA,2023
28,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,10,"Developer, full-stack",20 to 99 employees,Italy,NA,NA,"No, but I plan to soon",Favorable,Somewhat distrust,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too long,Easy,NA,2023
29,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,2,"Developer, full-stack",20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,NA,Very wary of use of AI,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"Manufacturing, Transportation, or Supply Chain",Appropriate in length,Neither easy nor difficult,38483,2023
30,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,"Associate degree (A.A., A.S., etc.)",15,15,"Developer, back-end","10,000 or more employees",Spain,NA,Yes,"No, but I plan to soon",Indifferent,Neither trust nor distrust,NA,NA,NA,NA,NA,NA,NA,15,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Neither easy nor difficult,74963,2023
31,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,19,Security professional,"10,000 or more employees",Australia,NA,"If it's accurate and adds value, sure","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,237974,2023
32,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,5,"Developer, full-stack",500 to 999 employees,Brazil,NA,NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too long,Easy,26374,2023
33,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10,7,"Developer, back-end",10 to 19 employees,Germany,GitHub Copilot,basic/ easy questions,Yes,Favorable,Neither trust nor distrust,Learning about a codebase;Testing code;Deployment and monitoring,Writing code;Documenting code;Debugging and getting help;Committing and reviewing code,Project planning;Collaborating with teammates ,NA,NA,NA,NA,7,Other,Appropriate in length,Easy,53545,2023
34,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,5,"Developer, front-end","1,000 to 4,999 employees",Portugal,NA,Getting better results,"No, but I plan to soon",Unfavorable,Somewhat distrust,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,74963,2023
35,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,13,"Developer, back-end",100 to 499 employees,Italy,NA,AI tools cannot improve SO,"No, but I plan to soon",Indifferent,Neither trust nor distrust,NA,NA,NA,NA,NA,NA,NA,13,Retail and Consumer Services,Appropriate in length,Easy,42836,2023
36,I code primarily as a hobby,35-44 years old,"Employed, full-time",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,NA,Educator,NA,United Kingdom of Great Britain and Northern Ireland,NA,"go for it, sure","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,2023
37,I am a developer by profession,55-64 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Some college/university study without earning a degree,33,15,"Developer, full-stack",100 to 499 employees,United States of America,NA,NA,Yes,Favorable,Somewhat trust,Learning about a codebase,Writing code;Debugging and getting help,,NA,NA,NA,NA,39,"Manufacturing, Transportation, or Supply Chain",Appropriate in length,Easy,130000,2023
38,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13,2,"Developer, full-stack",500 to 999 employees,Germany,GitHub Copilot,Search could be improved. Automation of finding similar questions.,"No, but I plan to soon",Indifferent,Neither trust nor distrust,NA,NA,NA,NA,NA,NA,NA,3,NA,Too long,Easy,53982,2023
39,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,6,"Developer, back-end","10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,GitHub Copilot,I think that would be a good idea. Also using AI to filter out irrelevant or outdated answers to given topics,Yes,Very favorable,Somewhat trust,Learning about a codebase;Writing code;Debugging and getting help,Writing code,,NA,NA,NA,NA,6,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Neither easy nor difficult,136552,2023
40,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,4,"Developer, front-end",100 to 499 employees,Bangladesh,NA,generating auto guess answers to a question that has not been answered by anyone,Yes,Very favorable,Neither trust nor distrust,Project planning;Committing and reviewing code;Deployment and monitoring,Learning about a codebase;Writing code;Debugging and getting help;Testing code,,NA,NA,NA,NA,4,"Information Services, IT, Software Development, or other Technology",Too long,Easy,14503,2023
41,I am a developer by profession,18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,2,Research & Development role,100 to 499 employees,Canada,NA,Adding semantic search would be great. I'm opposed to adding chatbots or generative methods in general,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Other,Appropriate in length,Easy,111527,2023
42,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10,5,"Developer, front-end",20 to 99 employees,Germany,AWS CodeWhisperer;GitHub Copilot;Tabnine,NA,Yes,Favorable,Neither trust nor distrust,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too long,Neither easy nor difficult,NA,2023
43,I am a developer by profession,45-54 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21,16,"Developer, front-end","1,000 to 4,999 employees",United States of America,GitHub Copilot,Do it,Yes,Favorable,Somewhat distrust,Writing code;Documenting code;Debugging and getting help;Testing code;Collaborating with teammates ,Debugging and getting help;Testing code,,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,165000,2023
44,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Some college/university study without earning a degree,3,2,System administrator,100 to 499 employees,United States of America,GitHub Copilot,If it can make the answers to questions more relevant or flag ones that may be irrelevant then I’d be all for it.,Yes,Favorable,Somewhat distrust,Learning about a codebase;Documenting code,Writing code;Debugging and getting help;Testing code;Committing and reviewing code,Project planning;Deployment and monitoring;Collaborating with teammates ,NA,NA,NA,NA,2,"Manufacturing, Transportation, or Supply Chain",Appropriate in length,Easy,63000,2023
45,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",22,14,"Developer, front-end",100 to 499 employees,Argentina,Tabnine,"I think that's a slippery slop, why don't we just replace Stack Overflow with ChatGPT? because experience provides knowledge and that's not the same that providing book-like responses","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Neither easy nor difficult,98000,2023
46,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,9,"Developer, back-end",500 to 999 employees,Canada,NA,Sure! Go ahead,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,101490,2023
47,I am learning to code,25-34 years old,"Student, full-time",NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,NA,NA,NA,Sweden,NA,NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA,2023
48,I code primarily as a hobby,55-64 years old,"Independent contractor, freelancer, or self-employed",Remote,Some college/university study without earning a degree,30,NA,Research & Development role,NA,Germany,NA,Negative. Nothing.,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,2023
49,I am a developer by profession,55-64 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",32,28,"Developer, back-end","1,000 to 4,999 employees",Switzerland,NA,no idea - ask ChatGPT :-),"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,28,Higher Education,Appropriate in length,Easy,149894,2023
50,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed;Employed, part-time;Student, part-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,NA,"Developer, full-stack",NA,Australia,NA,NA,Yes,Favorable,Somewhat distrust,Learning about a codebase;Documenting code;Debugging and getting help,Writing code;Debugging and getting help,Testing code;Collaborating with teammates ,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA,2023
51,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,1,Other (please specify):,500 to 999 employees,Finland,NA,I'm not at all confident it would be useful.,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither easy nor difficult,NA,2023
52,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,2,"Developer, mobile",20 to 99 employees,Sri Lanka,NA,no need of AI for stckoverflow.,Yes,Indifferent,Neither trust nor distrust,,Documenting code,,NA,NA,NA,NA,4,Other,Appropriate in length,Neither easy nor difficult,1721,2023
53,I am learning to code,Under 18 years old,"Student, full-time",NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7,NA,NA,NA,Poland,NA,I'm fine with it,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA,2023
54,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Under 18 years old,"Student, full-time",NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,Replit Ghostwriter,I don't think AI is at a point that it would be helpful to add to Stack Overflow yet.,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,2023
55,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,4,"Developer, mobile",I don’t know,Lebanon,NA,NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,2023
56,I am a developer by profession,45-54 years old,"Independent contractor, freelancer, or self-employed",Remote,Some college/university study without earning a degree,35,30,Database administrator,"Just me - I am a freelancer, sole proprietor, etc.",United States of America,NA,Catching/flagging bad/incomplete questions. Do not try to use AI for answers.,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,65000,2023
57,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20,11,"Developer, embedded applications or devices",10 to 19 employees,Lithuania,NA,Negative.,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"Manufacturing, Transportation, or Supply Chain",Appropriate in length,Easy,44978,2023
58,I code primarily as a hobby,Under 18 years old,"Student, full-time",NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,"No, but I plan to soon",Favorable,Somewhat trust,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too long,Neither easy nor difficult,NA,2023
59,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Not employed, but looking for work;Student, full-time",NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,NA,Student,NA,Netherlands,NA,"I sincerely hope that AI tools are not used to generate answers. Perhaps they could be used to raise flags, add short comments like ""please read the how to ask questions guideline"" (with a link and all) etc. In general, AI tools could be used to act as assistants to moderators.","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,2023
60,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,4,"Developer, full-stack",2 to 9 employees,Serbia,GitHub Copilot,NA,Yes,Very favorable,Somewhat trust,Learning about a codebase;Project planning;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Writing code;Documenting code;Debugging and getting help,,NA,NA,NA,NA,5,Legal Services,Appropriate in length,Neither easy nor difficult,105000,2023
61,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,8,"Developer, back-end",100 to 499 employees,Cyprus,NA,NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too short,Easy,160634,2023
62,I am a developer by profession,35-44 years old,"Employed, full-time",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,9,"Developer, desktop or enterprise applications","1,000 to 4,999 employees",Germany,NA,NA,"No, but I plan to soon",Unsure,Neither trust nor distrust,NA,NA,NA,NA,NA,NA,NA,9,"Information Services, IT, Software Development, or other Technology",Too long,Easy,82459,2023
63,I am learning to code,Under 18 years old,"Student, full-time",NA,Some college/university study without earning a degree,4,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,"I believe SO should be used to stay in contact with real people, so AI should not be added. It maybe would help with straightforward, fast answers or maybe to check if a question is too similar to another (duplicates)","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA,2023
64,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,15,"Developer, back-end",100 to 499 employees,Germany,NA,Should be just a tool that is used by admins / users and clearly stated that is has been used.,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA,2023
65,I am a developer by profession,18-24 years old,"Employed, full-time",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,2,"Developer, full-stack",100 to 499 employees,Netherlands,NA,NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Insurance,Appropriate in length,Neither easy nor difficult,38552,2023
